track,id,title,severity,confidence,tags,file,start_line,end_line,proposed_fix
A,A-1,"Wrap authorize quick-fix emits uppercase keyword that parser rejects",S2,C2,"correctness;dx","packages/tf-lsp-server/src/actions/wrap-authorize.mjs",1,35,"Emit `authorize{…}` in lowercase and add a regression test for the code action." 
A,A-2,"tf/sourceMap request reads arbitrary files",S1,C2,"security","packages/tf-lsp-server/src/server.ts",66,97,"Restrict lookups to open documents or to a workspace allowlist before calling readFile." 
A,A-3,"offsetToPosition rescans whole document per call",S3,C2,"perf","packages/tf-lsp-server/src/server.ts",531,548,"Cache line offsets or reuse TextDocument.positionAt instead of manual scanning." 
A,A-4,"extractFQSymbol splits entire doc on every hover",S3,C2,"perf;dx","packages/tf-lsp-server/src/server.ts",563,586,"Slice the current line via TextDocument APIs instead of splitting the entire document string." 
A,A-5,"Effect diagnostics always point at start of document",S3,C2,"dx","packages/tf-lsp-server/src/server.ts",437,456,"Thread source spans from parseDSL/checkIR and emit diagnostics at those ranges." 
A,A-6,"String literals leave escape sequences unprocessed",S3,C2,"correctness","packages/tf-compose/src/parser.mjs",171,194,"Decode common escapes (`\n`, `\t`, `\"`, `\\`) when tokenising strings." 
A,A-7,"authorize region token fails when keyword followed by whitespace",S2,C2,"correctness","packages/tf-compose/src/parser.mjs",93,100,"Allow optional whitespace between `authorize`/`txn` and the delimiter before emitting region tokens." 
A,A-8,"Inline-let refactor truncates multi-line initialisers",S3,C2,"correctness;dx","packages/tf-lsp-server/src/server.ts",343,373,"Use the DSL AST to find initializer spans or balance braces instead of stopping at the first newline." 
A,A-9,"Introduce-let regex ignores Unicode identifiers",S4,C2,"i18n;dx","packages/tf-lsp-server/src/server.ts",406,414,"Add the `u` flag and widen identifier character classes to cover Unicode letters." 
A,A-10,"Hover signature ignores array-shaped schemas",S4,C1,"dx","packages/tf-lsp-server/src/server.ts",593,606,"Inspect additional schema shapes (`array`, `oneOf`) before falling back to `name(...)`." 
B,B-1,"WASM default trace ids split into characters when returning a string",S2,C2,"correctness","packages/tf-run-wasm/src/index.ts",94,103,"Normalise `raw` to an array and drop empty entries before storing in `cachedTraceIds`." 
B,B-2,"Unknown spec ops crash enumerateComponentPlans",S2,C2,"correctness;dx","packages/tf-plan-enum/src/index.ts",248,255,"Validate `choiceLibrary[step.op]` and surface a descriptive error when missing." 
